,means
BB9,3.5567880794701954
SO9,7.648344370860931
HR9,1.040927152317881
UBBr,0.08223013245033116
SOr,0.19799337748344378
SO/BB,2.5857284768211963
WHIP,1.390248344370862
ERA,4.3057450331125855
FB%,0.24891491875923183
GB%,0.4451412112259974
LD%,0.22973397341211188
POP%,0.07178064992614466
SWING_RT,0.4582667279411763
CONTACT_RT,0.7640257352941181
SW_STRK_RT,0.23597463235294108
O_SWING_RT,0.3038505514705883
O_CONTACT_RT,0.5985465073529407
AVG,0.22763931888544858
OBP,0.2865495356037153
SLG,0.3448544891640865
