"","pitcher","batter","batter_name","pitcher_name"
"1",455374,445988,"Martin Prado","Antonio Bastardo"
"2",455374,488671,"Alex Avila","Antonio Bastardo"
"3",455374,573135,"Tyler Saladino","Antonio Bastardo"
"4",455374,594809,"Adam Eaton","Antonio Bastardo"
"5",455374,541645,"Avisail Garcia","Antonio Bastardo"
"6",455374,400085,"Ichiro Suzuki","Antonio Bastardo"
"7",455374,453400,"Chris Johnson","Antonio Bastardo"
"8",455374,588751,"Adeiny Hechavarria","Antonio Bastardo"
"9",460059,573135,"Tyler Saladino","Mike Pelfrey"
"10",460059,594809,"Adam Eaton","Mike Pelfrey"
"11",460059,425900,"Dioner Navarro","Mike Pelfrey"
"12",460059,276519,"Jimmy Rollins","Mike Pelfrey"
"13",460059,543434,"Brett Lawrie","Mike Pelfrey"
"14",460059,453943,"Todd Frazier","Mike Pelfrey"
"15",460059,605183,"Jason Coats","Mike Pelfrey"
"16",460059,573135,"Tyler Saladino","Mike Pelfrey"
"17",460059,547989,"Jose Abreu","Mike Pelfrey"
"18",460059,543434,"Brett Lawrie","Mike Pelfrey"
"19",460059,453943,"Todd Frazier","Mike Pelfrey"
"20",460059,425900,"Dioner Navarro","Mike Pelfrey"
"21",460059,453943,"Todd Frazier","Mike Pelfrey"
"22",460059,276519,"Jimmy Rollins","Mike Pelfrey"
"23",460059,594809,"Adam Eaton","Mike Pelfrey"
"24",460059,543776,"J.B. Shuck","Mike Pelfrey"
"25",460059,543434,"Brett Lawrie","Mike Pelfrey"
"26",460059,543776,"J.B. Shuck","Mike Pelfrey"
"27",460059,573135,"Tyler Saladino","Mike Pelfrey"
"28",460059,543776,"J.B. Shuck","Mike Pelfrey"
"29",460059,605183,"Jason Coats","Mike Pelfrey"
"30",460059,276519,"Jimmy Rollins","Mike Pelfrey"
"31",460059,605183,"Jason Coats","Mike Pelfrey"
"32",460059,594809,"Adam Eaton","Mike Pelfrey"
"33",460059,547989,"Jose Abreu","Mike Pelfrey"
"34",460059,547989,"Jose Abreu","Mike Pelfrey"
"35",594798,543776,"J.B. Shuck","Jacob DeGrom"
"36",594798,594809,"Adam Eaton","Jacob DeGrom"
"37",594798,466320,"Melky Cabrera","Jacob DeGrom"
"38",594798,543434,"Brett Lawrie","Jacob DeGrom"
"39",594798,453943,"Todd Frazier","Jacob DeGrom"
"40",594798,453943,"Todd Frazier","Jacob DeGrom"
"41",594798,543434,"Brett Lawrie","Jacob DeGrom"
"42",594798,466320,"Melky Cabrera","Jacob DeGrom"
"43",594798,547989,"Jose Abreu","Jacob DeGrom"
"44",594798,543776,"J.B. Shuck","Jacob DeGrom"
"45",594798,547989,"Jose Abreu","Jacob DeGrom"
"46",594798,488671,"Alex Avila","Jacob DeGrom"
"47",594798,594809,"Adam Eaton","Jacob DeGrom"
"48",594798,453943,"Todd Frazier","Jacob DeGrom"
"49",594798,488671,"Alex Avila","Jacob DeGrom"
"50",594798,573135,"Tyler Saladino","Jacob DeGrom"
"51",594798,543742,"Jerry Sands","Jacob DeGrom"
"52",594798,543776,"J.B. Shuck","Jacob DeGrom"
"53",594798,466320,"Melky Cabrera","Jacob DeGrom"
